Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
_find - 2 parâmetros,100,1611,1724,2624,2743,2825,56,2864,0.000%,1.91248,15.83,0.86
_find - 2 parâmetros e filtro de campos,100,1664,1811,2665,2742,2825,62,2834,0.000%,1.82926,6.73,1.05
"_find - 1 parâmetro, filtro de campos e sort",100,20969,22743,27521,27650,27757,5961,27818,0.000%,1.37084,4.65,0.70
Inserção,100,261,256,374,430,629,82,735,0.000%,1.54883,0.53,0.86
TOTAL,400,6126,1798,24676,26895,27700,56,27818,0.000%,5.44848,21.37,2.85
