Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
_find - 2 parâmetros,1000,16547,16389,30368,31841,32025,91,32286,0.000%,1.88236,15.58,0.85
_find - 2 parâmetros e filtro de campos,1000,17411,18174,30901,31811,32010,95,32202,0.000%,1.78400,6.56,1.03
"_find - 1 parâmetro, filtro de campos e sort",1000,269794,312718,373819,376048,377951,1461,378743,0.000%,1.19790,4.02,0.61
Inserção,1000,1977,1906,3176,3939,5346,73,6204,0.000%,1.19883,0.41,0.66
TOTAL,4000,76432,16642,335856,366113,376407,73,378743,0.000%,4.78444,18.73,2.50
