Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
Deletar,1,74,74,74,74,74,74,74,0.000%,13.51351,3.26,3.11
Criar,1,1045,1045,1045,1045,1045,1045,1045,0.000%,.95694,0.27,0.22
Popular,1,9335,9335,9335,9335,9335,9335,9335,0.000%,.10712,198.48,1004.13
Indexação,1,130,130,130,130,130,130,130,0.000%,7.69231,2.55,2.70
TOTAL,4,2646,130,9335,9335,9335,74,9335,0.000%,.37789,175.12,885.63
