Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
_find - 2 parâmetros,500,6527,6351,11986,12843,13213,94,13512,0.000%,1.90709,15.79,0.86
_find - 2 parâmetros e filtro de campos,500,6798,6699,12287,12817,13223,54,13509,0.000%,1.82434,6.71,1.05
"_find - 1 parâmetro, filtro de campos e sort",500,92150,105914,138523,139312,140135,696,140309,0.000%,1.35427,4.58,0.69
Inserção,500,721,689,1200,1349,1565,77,2032,0.000%,1.35604,0.46,0.74
TOTAL,2000,26549,6313,117162,133671,139513,54,140309,0.000%,5.40922,21.20,2.82
