Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
_find - 2 parâmetros,500,6483,6319,12122,12581,12892,57,13135,0.000%,1.90400,15.76,0.86
_find - 2 parâmetros e filtro de campos,500,6792,6613,12487,12818,13005,71,13132,0.000%,1.82199,6.70,1.05
"_find - 1 parâmetro, filtro de campos e sort",500,91132,105359,137101,138686,139598,888,140052,0.000%,1.36106,4.60,0.70
Inserção,500,708,694,1159,1269,1502,67,2379,0.000%,1.36348,0.47,0.75
TOTAL,2000,26279,6230,116409,132632,138859,57,140052,0.000%,5.43514,21.30,2.84
