Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
_find - 2 parâmetros,1000,18086,17342,35189,36505,36891,90,37027,0.000%,1.86626,15.45,0.84
_find - 2 parâmetros e filtro de campos,1000,19187,18750,35635,36461,36884,55,37024,0.000%,1.75549,6.46,1.01
"_find - 1 parâmetro, filtro de campos e sort",1000,300398,358502,425610,427773,429561,1094,430461,0.000%,1.13390,3.81,0.58
Inserção,1000,2091,2079,3422,3901,5330,80,6917,0.000%,1.13493,0.39,0.63
TOTAL,4000,84940,17374,382152,416599,428338,55,430461,0.000%,4.53200,17.74,2.37
