Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
_find - 2 parâmetros,100,1431,1396,2412,2573,2666,77,2682,0.000%,1.92682,15.95,0.87
_find - 2 parâmetros e filtro de campos,100,1467,1438,2437,2572,2649,64,2676,0.000%,1.84911,6.80,1.06
"_find - 1 parâmetro, filtro de campos e sort",100,18429,19488,25297,25597,25712,5813,25805,0.000%,1.42049,4.81,0.73
Inserção,100,229,215,333,378,535,73,654,0.000%,1.61447,0.55,0.90
TOTAL,400,5389,1413,21510,24661,25672,64,25805,0.000%,5.64908,22.15,2.96
