Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
Deletar,1,85,85,85,85,85,85,85,0.000%,11.76471,2.84,2.71
Criar,1,1256,1256,1256,1256,1256,1256,1256,0.000%,.79618,0.22,0.18
Popular,1,7627,7627,7627,7627,7627,7627,7627,0.000%,.13111,242.93,1229.00
Indexação,1,111,111,111,111,111,111,111,0.000%,9.00901,2.98,3.17
TOTAL,4,2269,111,7627,7627,7627,85,7627,0.000%,.44058,204.17,1032.54
