year_month,month_of_release,passenger_type,direction,citizenship,visa,country_of_residence,estimate,standard_error,status,_id
2017-08,2018-11,Long-term migrant,Arrivals,TOTAL,Work,The Americas,369,0,Provisional,28111
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,NZ and Australian citizens,Africa and the Middle East,50,0,Provisional,28112
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,NZ and Australian citizens,Asia,184,1,Provisional,28113
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,NZ and Australian citizens,Europe,690,1,Provisional,28114
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,NZ and Australian citizens,Oceania and Antarctica,1882,4,Provisional,28115
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,NZ and Australian citizens,The Americas,209,0,Provisional,28116
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Other,Africa and the Middle East,23,0,Provisional,28117
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Other,Asia,16,0,Provisional,28118
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Other,Europe,19,1,Provisional,28119
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Other,Oceania and Antarctica,10,0,Provisional,28120
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Other,The Americas,19,0,Provisional,28121
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Resident,Africa and the Middle East,106,0,Provisional,28122
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Resident,Asia,464,1,Provisional,28123
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Resident,Europe,153,0,Provisional,28124
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Resident,Oceania and Antarctica,222,0,Provisional,28125
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Resident,The Americas,58,0,Provisional,28126
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Student,Africa and the Middle East,130,0,Provisional,28127
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Student,Asia,1237,2,Provisional,28128
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Student,Europe,120,0,Provisional,28129
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Student,Oceania and Antarctica,45,0,Provisional,28130
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Student,The Americas,156,0,Provisional,28131
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Visitor,Africa and the Middle East,224,0,Provisional,28132
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Visitor,Asia,1191,2,Provisional,28133
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Visitor,Europe,221,1,Provisional,28134
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Visitor,Oceania and Antarctica,207,1,Provisional,28135
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Visitor,The Americas,253,1,Provisional,28136
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Work,Africa and the Middle East,349,0,Provisional,28137
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Work,Asia,806,3,Provisional,28138
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Work,Europe,911,5,Provisional,28139
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Work,Oceania and Antarctica,226,1,Provisional,28140
2017-09,2018-11,Long-term migrant,Arrivals,TOTAL,Work,The Americas,467,2,Provisional,28141
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,NZ and Australian citizens,Africa and the Middle East,60,1,Provisional,28142
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,NZ and Australian citizens,Asia,190,2,Provisional,28143
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,NZ and Australian citizens,Europe,688,3,Provisional,28144
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,NZ and Australian citizens,Oceania and Antarctica,1851,11,Provisional,28145
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,NZ and Australian citizens,The Americas,236,2,Provisional,28146
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Other,Africa and the Middle East,2,0,Provisional,28147
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Other,Asia,14,0,Provisional,28148
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Other,Europe,11,0,Provisional,28149
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Other,Oceania and Antarctica,71,2,Provisional,28150
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Other,The Americas,11,0,Provisional,28151
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Resident,Africa and the Middle East,162,1,Provisional,28152
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Resident,Asia,456,4,Provisional,28153
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Resident,Europe,169,1,Provisional,28154
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Resident,Oceania and Antarctica,198,2,Provisional,28155
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Resident,The Americas,83,0,Provisional,28156
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Student,Africa and the Middle East,169,1,Provisional,28157
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Student,Asia,1165,7,Provisional,28158
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Student,Europe,86,0,Provisional,28159
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Student,Oceania and Antarctica,43,0,Provisional,28160
2017-10,2018-11,Long-term migrant,Arrivals,TOTAL,Student,The Americas,100,1,Provisional,28161
