year_month,month_of_release,passenger_type,direction,citizenship,visa,country_of_residence,estimate,standard_error,status,_id
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Afghanistan,27,0,Provisional,28362
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Africa and the Middle East,965,0,Provisional,28363
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Albania,1,0,Provisional,28364
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Algeria,4,0,Provisional,28365
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Antigua and Barbuda,1,0,Provisional,28366
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Argentina,53,0,Provisional,28367
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Asia,3935.006,0.431590105,Provisional,28368
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Australia,2038.03,0.117010621,Provisional,28369
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Austria,15,0,Provisional,28370
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bahrain,4,0,Provisional,28371
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bangladesh,19,0,Provisional,28372
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Belarus,9,0,Provisional,28373
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Belgium,29,0,Provisional,28374
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bermuda,9,0,Provisional,28375
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bolivia,2,0,Provisional,28376
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Bosnia and Herzegovina,6,0,Provisional,28377
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Botswana,2,0,Provisional,28378
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Brazil,120.086,0.206901909,Provisional,28379
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Brunei Darussalam,6,0,Provisional,28380
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Cambodia,20,0,Provisional,28381
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Canada,245,0,Provisional,28382
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Cayman Islands,9,0,Provisional,28383
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Chile,92,0,Provisional,28384
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,"China, People's Republic of",1063.944,0.381093159,Provisional,28385
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Colombia,43,0,Provisional,28386
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Congo,1,0,Provisional,28387
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Cook Islands,29,0,Provisional,28388
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Costa Rica,1,0,Provisional,28389
