year_month,month_of_release,passenger_type,direction,citizenship,visa,country_of_residence,estimate,standard_error,status,_id
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Ecuador,1,0,Provisional,29241
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Egypt,4,0,Provisional,29242
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Eritrea,1,0,Provisional,29243
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Estonia,1.922,0.232026679,Provisional,29244
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Ethiopia,2,0,Provisional,29245
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Europe,2240.526,8.964003375,Provisional,29246
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Fiji,276.846,2.987418683,Provisional,29247
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Finland,23.68,0.762654182,Provisional,29248
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Former Yugoslav Republic of Macedonia (FYROM),3,0,Provisional,29249
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,France,148.722,2.673460594,Provisional,29250
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,French Polynesia,3.09,0.215122645,Provisional,29251
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Gambia,1,0,Provisional,29252
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Germany,173.626,2.088138009,Provisional,29253
2017-12,2019-01,Long-term migrant,Arrivals,TOTAL,TOTAL,Ghana,6,0,Provisional,29254
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Afghanistan,13,0,Provisional,29255
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Africa and the Middle East,218,0,Provisional,29256
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Argentina,19,0,Provisional,29257
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Asia,1206,0,Provisional,29258
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Australia,40,0,Provisional,29259
