Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
_find - 2 parâmetros,100,1550,1656,2525,2704,2740,64,2768,0.000%,1.91399,15.84,0.86
_find - 2 parâmetros e filtro de campos,100,1603,1698,2599,2698,2751,59,2833,0.000%,1.83375,6.74,1.05
"_find - 1 parâmetro, filtro de campos e sort",100,19863,21702,26654,26840,26935,5342,27010,0.000%,1.40109,4.75,0.72
Inserção,100,247,232,349,395,597,96,644,0.000%,1.57438,0.54,0.88
TOTAL,400,5816,1675,23083,25911,26847,59,27010,0.000%,5.56785,21.83,2.92
