Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
_find - 2 parâmetros,500,6402,6227,11855,12535,12804,94,13072,0.000%,1.90444,15.76,0.86
_find - 2 parâmetros e filtro de campos,500,6698,6552,12403,12697,12957,57,13096,0.000%,1.82291,6.70,1.05
"_find - 1 parâmetro, filtro de campos e sort",500,90243,103981,134755,135883,136640,798,136856,0.000%,1.36180,4.60,0.70
Inserção,500,712,725,1140,1239,1432,77,1983,0.000%,1.36282,0.47,0.75
TOTAL,2000,26014,6204,115101,130781,136022,57,136856,0.000%,5.43440,21.30,2.84
