Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
_find - 2 parâmetros,1000,18090,18222,34310,35939,36427,80,36692,0.000%,1.86967,15.48,0.84
_find - 2 parâmetros e filtro de campos,1000,19161,19323,34902,35898,36355,57,36695,0.000%,1.75962,6.47,1.01
"_find - 1 parâmetro, filtro de campos e sort",1000,303946,355788,424376,427183,429030,1110,429673,0.000%,1.14392,3.84,0.59
Inserção,1000,2063,2075,3437,3902,4928,105,6418,0.000%,1.14492,0.39,0.63
TOTAL,4000,85815,18393,379951,415639,427469,57,429673,0.000%,4.57188,17.90,2.39
