Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
Deletar,1,95,95,95,95,95,95,95,0.000%,10.52632,2.54,2.43
Criar,1,3077,3077,3077,3077,3077,3077,3077,0.000%,.32499,0.09,0.07
Popular,1,8375,8375,8375,8375,8375,8375,8375,0.000%,.11940,221.23,1119.23
Indexação,1,81,81,81,81,81,81,81,0.000%,12.34568,4.09,4.34
TOTAL,4,2907,95,8375,8375,8375,81,8375,0.000%,.34394,159.39,806.05
