Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
_find - 2 parâmetros,1000,17237,18304,30901,31990,32275,91,32513,0.000%,1.88020,15.56,0.85
_find - 2 parâmetros e filtro de campos,1000,18138,19743,31366,31994,32277,73,32514,0.000%,1.78038,6.55,1.02
"_find - 1 parâmetro, filtro de campos e sort",1000,282992,329761,385747,387370,388619,746,389637,0.000%,1.19238,4.00,0.61
Inserção,1000,1970,2001,3120,3460,4404,145,5384,0.000%,1.19290,0.41,0.66
TOTAL,4000,80084,18399,349782,378844,387546,73,389637,0.000%,4.76606,18.66,2.49
