Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
_find - 2 parâmetros,500,5811,5702,11087,11758,12047,88,12177,0.000%,1.91407,15.84,0.86
_find - 2 parâmetros e filtro de campos,500,6053,5842,11322,11755,12044,51,12179,0.000%,1.83857,6.76,1.06
"_find - 1 parâmetro, filtro de campos e sort",500,81851,94236,126297,127271,128001,615,128189,0.000%,1.39640,4.72,0.72
Inserção,500,649,648,1061,1141,1352,65,1722,0.000%,1.39551,0.48,0.76
TOTAL,2000,23591,5510,104976,122249,127455,51,128189,0.000%,5.56802,21.82,2.90
