Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
Deletar,1,118,118,118,118,118,118,118,0.000%,8.47458,2.04,1.95
Criar,1,1741,1741,1741,1741,1741,1741,1741,0.000%,.57438,0.16,0.13
Popular,1,8195,8195,8195,8195,8195,8195,8195,0.000%,.12203,226.09,1143.82
Indexação,1,219,219,219,219,219,219,219,0.000%,4.56621,1.52,1.61
TOTAL,4,2568,219,8195,8195,8195,118,8195,0.000%,.38929,180.41,912.35
