Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
_find - 2 parâmetros,100,1485,1547,2394,2521,2558,179,2588,0.000%,1.92445,15.93,0.87
_find - 2 parâmetros e filtro de campos,100,1518,1556,2467,2535,2576,61,2683,0.000%,1.85453,6.82,1.07
"_find - 1 parâmetro, filtro de campos e sort",100,18972,19880,25213,25457,25600,7202,25695,0.000%,1.43600,4.87,0.74
Inserção,100,254,226,344,449,998,59,1163,0.000%,1.68688,0.58,0.94
TOTAL,400,5557,1551,21667,24510,25516,59,25695,0.000%,5.69160,22.32,2.98
